,tile_58,tile_190,tile_191,tile_192,tile_200,tile_212,tile_213,tile_214,tile_215,tile_228,tile_234,tile_235,tile_238,tile_257,tile_258,tile_259,tile_260,tile_281,tile_282,tile_301,tile_355,tile_360,tile_383,tile_419,tile_420,tile_422,tile_423,tile_426,tile_427,tile_450,tile_478,tile_479,tile_480,tile_481,tile_524,tile_532,tile_533,tile_534,tile_545,tile_562,tile_587,tile_591,tile_592,tile_602,tile_620,tile_621,tile_622,tile_640,tile_641,tile_642,tile_643,tile_650,tile_651,tile_652,tile_653,tile_693,tile_694,tile_695,tile_696,tile_713,tile_714,tile_733,tile_734,tile_745,tile_746,tile_747,tile_748,tile_750,tile_751,tile_762,tile_763,tile_776,tile_777,tile_778,tile_784,tile_785,tile_786,tile_791,tile_798,tile_799,tile_800,tile_801,tile_802,tile_803,tile_804,tile_805,tile_811,tile_812,tile_822,tile_833,tile_834,tile_852,tile_853,tile_854,tile_855,tile_856,tile_863,tile_864,tile_865,tile_906,tile_907,tile_908,tile_925,tile_926,tile_927,tile_929,tile_964,tile_988,tile_991,tile_992,tile_993,tile_997,tile_998,tile_1003,tile_1004,tile_1010,tile_1015,tile_1016,tile_1047,tile_1048,tile_1055,tile_1057,tile_1059,tile_1060,tile_1061,tile_1068,tile_1116,tile_1117,tile_1119,tile_1120,tile_1121,tile_1122,tile_1126,tile_1174,tile_1207,tile_1209,tile_1224,tile_1225,tile_1226,tile_1230,tile_1231,tile_1245,tile_1247,tile_1248,tile_1249,tile_1273,tile_1278,tile_1285,tile_1286,tile_1287,tile_1288,tile_1313,tile_1315,tile_1316,tile_1345,tile_1347,tile_1348,tile_1349,tile_1362,tile_1397,tile_1398,tile_1408,tile_1409,tile_1410,tile_1430,tile_1431,tile_1435,tile_1459,tile_1468,tile_1469,tile_1473,tile_1474,tile_1506,tile_1507,tile_1514,tile_1515,tile_1516,tile_1529,tile_1542,tile_1571,tile_1572,tile_1628,maximum
KO21000758#1#1#5,0,67,82,68,0,129,187,150,128,0,113,106,103,148,183,156,125,83,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_213=187
KO21000758#2#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,105,0,0,304,298,0,0,0,0,0,0,0,0,0,0,0,0,239,0,83,338,0,0,0,0,0,203,199,0,0,75,0,0,0,0,0,0,321,244,0,0,0,0,92,69,350,0,0,0,109,136,79,0,101,0,138,286,373,134,0,0,0,0,76,0,0,0,tile_1506=373
KO21002581#1#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,382,329,0,0,0,0,0,0,0,0,110,79,87,0,0,0,0,0,107,121,420,0,0,0,180,115,316,0,0,0,0,110,117,0,0,0,0,0,0,0,134,0,0,0,0,tile_1349=420
KO21001785#1#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,104,73,0,0,0,0,0,0,0,0,0,0,0,0,0,87,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,127,100,0,0,0,0,0,0,103,149,117,0,0,0,0,0,0,83,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_641=311
KO21002599#4#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,98,86,0,0,0,0,0,131,115,0,0,159,186,117,0,0,0,0,0,0,0,0,0,94,109,0,0,0,0,0,0,115,181,112,0,0,0,0,0,0,0,0,0,0,0,0,183,106,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_992=186
KO21001805#1#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,185,308,130,0,0,0,0,70,204,309,121,0,0,0,0,0,0,122,279,190,268,0,0,0,0,0,0,0,0,0,0,0,142,121,0,222,135,180,0,0,0,0,0,0,0,190,147,123,0,0,0,0,59,109,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_695=309
KO21002581#2#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,165,0,0,453,562,129,0,164,487,126,0,0,319,0,0,0,0,0,0,0,241,110,0,0,0,0,0,170,90,136,0,0,0,0,0,91,117,115,117,0,0,0,0,0,0,0,0,0,0,0,97,141,117,145,88,0,0,0,0,0,0,0,0,277,85,132,0,0,0,0,0,200,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,82,0,0,0,0,0,0,0,316,0,0,0,0,179,119,0,170,0,0,0,0,202,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_480=562
KO21001785#2#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_653=98
KO21001785#4#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,139,0,99,82,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_360=139
KO21002581#3#1#3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,204,207,0,0,136,130,123,0,0,148,0,0,0,0,229,0,139,185,0,133,166,116,0,0,0,0,129,142,0,0,0,0,0,0,0,0,196,249,0,0,0,0,0,0,95,69,0,0,0,0,0,394,142,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_786=394
KO21002599#1#1#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,141,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,132,0,0,0,0,0,0,0,111,120,137,0,153,97,0,0,0,0,0,0,0,0,0,0,0,104,92,0,0,0,0,0,0,0,0,0,112,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,98,122,103,0,0,112,108,117,tile_1116=153
KO21002599#2#1#3,0,0,0,0,10,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tile_228=110
